customernumber,customername,year,month,beginfootprint,deltaptcount,trainset,GamesPlayed,ActualWin,TheoWin,MachineDays,AdjGamesPlayed,AdjActualWin,AdjTheoWin,AdjMachineDays,PriorUtil,PriorWPUPD,PriorTheoWPUPD,PostUtil,PostWPUPD,PostTheoWPUPD,PriorAdjUtil,PriorAdjWPUPD,PriorAdjTheoWPUPD,PostAdjUtil,PostAdjWPUPD,PostAdjTheoWPUPD
7CLA001,7 Clans - Paradise Casino,2014,2,232,0,CTRL,2960168,370147.38,295728.553635,2611,2027134.42825,213332.767916,170441.814011,0,0,0,0,0.0717235811669,111.788422479,104.454747696,0,0,0,0.0847276009157,109.997546795,104.419123808
7CLA001,7 Clans - Paradise Casino,2014,3,232,0,CTRL,7771049,758946.3,779343.217257,7358,10420284.2075,842107.361927,864739.258522,0,0.0787312226052,141.7646036,113.262563629,0.0720486288339,104.290826412,103.677359203,0.0539154439616,81.7053879419,65.2783661476,0.0671483408088,96.2284211154,94.8216624325
7CLA001,7 Clans - Paradise Casino,2014,4,232,0,CTRL,6801928,768626.58,698152.025999,7007,8721165.7113,811878.224542,737437.973234,0,0.0747540779193,113.260475474,107.841485695,0.0705004708877,95.9466772272,101.711205713,0.0867092057305,105.872216857,103.840011288,0.0957969548125,87.5420157334,93.4697778197
7CLA001,7 Clans - Paradise Casino,2014,5,232,0,CTRL,7786191,719998.72,756855.524928,7186,5560535.34409,419833.116989,441324.415327,0,0.0717235811669,111.788422479,104.454747696,0.0712446420847,100.809480325,101.900671427,0.0865952273596,109.997546795,104.419123808,0.0713931500862,87.0829217518,89.1615593308
7CLA001,7 Clans - Paradise Casino,2014,6,232,0,CTRL,6881474,540455.03,695981.027492,6955,9595247.64121,619627.207199,797936.472769,0,0.0727707649293,108.34032696,104.713157926,0.066624756381,96.4018562987,96.5749256925,0.076822649923,94.6590295246,91.6291474669,0.0750655347965,92.6190996324,94.3860904479
7CLA001,7 Clans - Paradise Casino,2014,7,232,0,CTRL,7206036,888905.18,719787.663081,7180,8367825.13313,817234.650482,661752.718394,0,0.0712341310211,97.8049052831,102.79701802,0.0649956877923,100.515109664,96.4089281182,0.0835526655794,94.4869820619,99.6785981847,0.0887508510659,97.6477315217,94.5379502313
7CLA001,7 Clans - Paradise Casino,2014,8,232,0,CTRL,6368742,626120.17,643401.875042,7187,6311436.90653,537962.58468,552811.029367,0,0.0702966367199,103.007113457,101.340590282,0.0631672200551,91.0884183152,95.9488231191,0.0790461876886,94.2026687098,93.1393525743,0.0539956244073,80.052929311,84.8891888657
7CLA001,7 Clans - Paradise Casino,2014,9,232,0,CTRL,6396265,629766.06,693984.170063,6971,9471578.19124,728410.060048,802687.034274,0,0.0687975573133,97.3579030448,98.7802052246,0.0655373887507,95.8672497771,101.856203895,0.0726770775478,83.9994934527,86.074948641,0.0806747651416,85.4608002498,91.3465997391
7CLA001,7 Clans - Paradise Casino,2014,10,232,0,CTRL,6822491,705611.77,728775.911941,7376,5384207.92825,457487.135056,472505.729392,0,0.0659088157848,94.9085088184,97.3086889223,0.0687068994419,104.906025439,108.409359223,0.0828289090747,95.5442866578,99.5011930444,0.0697792832073,87.4935308115,90.391724897
7CLA001,7 Clans - Paradise Casino,2014,11,232,0,CTRL,6893253,707649.13,747897.479209,6964,7682313.33792,635357.91902,671494.623374,0,0.0647998218059,99.2687601867,97.0240865128,0.0699554820797,104.618315075,110.80881159,0.0714301389932,88.4967064939,86.7088009831,0.055662345479,84.1963575005,88.4572229914
7CLA001,7 Clans - Paradise Casino,2014,12,232,0,CTRL,7597466,846624.7,858681.025232,7202,8525968.51766,791940.586665,803218.184964,0,0.0645287754111,93.6608579549,98.7458571217,0.0722349694307,109.550485428,114.966376869,0.0703010746464,82.7853778793,87.7078537584,0.0629575998104,78.6225695859,81.8857242451
7CLA001,7 Clans - Paradise Casino,2015,1,232,0,CTRL,7026468,680373.38,760297.711113,7194,4535000.8994,371135.690526,414733.474757,0,0.0674874301975,101.345058745,106.24411975,0.0698841101389,102.454642565,110.12759129,0.0756576629156,91.6492722894,96.4439228424,0.0760152690835,73.4586497972,78.9579428572
7CLA001,7 Clans - Paradise Casino,2015,2,232,-3,TRMT,7039969,754609.88,775425.994695,6431,5182754.49651,474395.979575,487482.319131,0,0.0684866785372,102.319702812,107.727315127,0.0682508954223,109.346227088,108.632317432,0.0631406276178,78.5050574633,82.1948779401,0.0689726225267,90.8626267189,90.2080692842
7CLA001,7 Clans - Paradise Casino,2015,3,229,2,TRMT,6866258,696175.76,755040.320608,7176,9003206.48881,682481.70433,740188.375485,0,0.0713589231526,107.562055701,113.069058697,0.0656426782053,111.834753072,104.220917174,0.064784255823,81.7829576405,85.5287180104,0.0729692456295,98.72747482,92.7475138383
7CLA001,7 Clans - Paradise Casino,2015,4,231,-4,TRMT,6201142,786328.82,692042.267028,6852,7183386.79464,702080.796136,617896.19487,0,0.0707517473326,106.338025212,112.468130259,0.0611900104645,104.981320937,97.5312284283,0.0675694727211,82.8466221868,87.3342982658,0.0810432997625,93.7446243477,88.1975394546
